Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
152538,2,1,1,21,20,95275,7,11,2,89988,203566,1,9,19,21,20,15,2,14,1,1,1,1,2014-06-20,2018-11-02,2014-06-20,2018-10-16
152669,2,2,1,22,21,6753,3,5,2,73034,107985,1,3,9,22,21,16,16,4,13,5,1,1,2014-06-23,2018-11-02,2014-06-26,2018-10-16
152669,2,1,1,22,21,6753,3,5,2,73034,107985,1,3,9,22,21,16,16,4,13,5,1,1,2014-06-23,2018-11-02,2014-06-26,2018-10-16
152679,2,1,7,23,4,91639,3,5,2,109850,109850,1,9,20,23,4,2,16,4,13,2,1,1,2014-06-23,2018-11-02,2014-06-25,2018-10-16
152738,3,1,1,24,22,10251,6,13,2,30683,49707,1,5,21,24,22,17,17,15,14,1,1,1,2014-06-26,2018-11-02,2014-06-26,2018-10-16
155260,2,1,1,25,23,21538,6,8,2,55544,79244,1,9,13,25,23,2,2,16,15,9,1,1,2014-07-18,2018-11-02,2014-08-01,2018-10-16
160910,6,1,1,26,24,1002C,3,2,2,49492,60000,1,14,22,26,24,18,2,17,16,10,1,1,2014-08-21,2018-11-02,2014-08-21,2018-10-16
163183,2,2,1,27,25,13651,1,14,3,23.6437,32.6448,2,4,23,27,25,19,2,18,1,3,1,2,2014-08-27,2018-11-02,2014-08-27,2018-10-16
163776,2,1,1,28,17,22427,6,7,2,75981,103007,1,4,24,28,17,20,18,12,7,3,1,2,2014-08-27,2018-11-02,2014-08-27,2018-10-16
163776,2,2,1,28,17,22427,6,7,2,75981,103007,1,4,24,28,17,20,18,12,7,3,1,2,2014-08-27,2018-11-02,2014-08-27,2018-10-16
167179,7,1,1,29,26,13642,8,14,2,87203,131623,1,15,6,29,26,21,2,19,1,1,1,5,2014-11-19,2018-11-02,2014-11-19,2018-10-16
167179,7,2,1,29,26,13642,8,14,2,87203,131623,1,15,6,29,26,21,2,19,1,1,1,5,2014-11-19,2018-11-02,2014-11-19,2018-10-16
